Time,CPU used, RAM used, VRAM used
Mon Nov 27 02:13:07 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:13:08 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:13:09 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:13:10 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:13:11 2023,1.503759,427139072,4416989193780068353
Mon Nov 27 02:13:12 2023,0.751880,427139072,4416989193780068353
Mon Nov 27 02:13:13 2023,0.753769,427139072,4416989193780068353
Mon Nov 27 02:13:14 2023,0.502513,427139072,4416989193780068353
Mon Nov 27 02:13:15 2023,1.000000,427139072,4416989193780068353
Mon Nov 27 02:13:16 2023,1.250000,427139072,4416989193780068353
Mon Nov 27 02:13:17 2023,0.502513,427139072,4416989193780068353
Mon Nov 27 02:13:18 2023,1.002506,427139072,4416989193780068353
Mon Nov 27 02:13:19 2023,0.502513,427139072,4416989193780068353
Mon Nov 27 02:13:20 2023,1.000000,427139072,4416989193780068353
Mon Nov 27 02:13:21 2023,0.502513,427139072,4416989193780068353
Mon Nov 27 02:13:22 2023,0.751880,427139072,4416989193780068353
Mon Nov 27 02:13:23 2023,0.751880,427139072,4416989193780068353
Mon Nov 27 02:13:24 2023,0.751880,427139072,4416989193780068353
Mon Nov 27 02:13:25 2023,1.253133,427139072,4416989193780068353
Mon Nov 27 02:13:26 2023,1.002506,427139072,4416989193780068353
Mon Nov 27 02:13:27 2023,2.005013,427139072,4416989193780068353
Mon Nov 27 02:13:28 2023,0.751880,427139072,4416989193780068353
Mon Nov 27 02:13:29 2023,0.751880,427139072,4416989193780068353
Mon Nov 27 02:13:30 2023,1.002506,427139072,4416989193780068353
Mon Nov 27 02:13:31 2023,0.501253,427139072,4416989193780068353
Mon Nov 27 02:13:32 2023,0.753769,427139072,4416989193780068353
Mon Nov 27 02:13:33 2023,0.751880,427139072,4416989193780068353
Mon Nov 27 02:13:34 2023,1.002506,427139072,4416989193780068353
Mon Nov 27 02:13:35 2023,0.750000,427139072,4416989193780068353
Mon Nov 27 02:13:36 2023,0.753769,427139072,4416989193780068353
Mon Nov 27 02:13:37 2023,0.751880,427139072,4416989193780068353
Mon Nov 27 02:13:38 2023,1.002506,427139072,4416989193780068353
Mon Nov 27 02:13:39 2023,0.753769,427139072,4416989193780068353
Mon Nov 27 02:13:40 2023,1.002506,427139072,4416989193780068353
Mon Nov 27 02:13:41 2023,0.753769,427139072,4416989193780068353
Mon Nov 27 02:13:42 2023,1.002506,427139072,4416989193780068353
Mon Nov 27 02:13:43 2023,0.502513,427139072,4416989193780068353
Mon Nov 27 02:13:44 2023,1.250000,427139072,4416989193780068353
Mon Nov 27 02:13:45 2023,0.502513,427139072,4416989193780068353
Mon Nov 27 02:13:46 2023,1.005025,427139072,4416989193780068353
Mon Nov 27 02:13:47 2023,1.000000,427139072,4416989193780068353
Mon Nov 27 02:13:48 2023,1.002506,427139072,4416989193780068353
Mon Nov 27 02:13:49 2023,0.753769,427139072,4416989193780068353
Mon Nov 27 02:13:50 2023,0.750000,427139072,4416989193780068353
Mon Nov 27 02:13:51 2023,0.753769,427139072,4416989193780068353
Mon Nov 27 02:13:52 2023,0.502513,427397120,4416989193780068353
Mon Nov 27 02:13:53 2023,1.000000,427397120,4416989193780068353
Mon Nov 27 02:13:54 2023,0.751880,427397120,4416989193780068353
Mon Nov 27 02:13:55 2023,0.753769,427397120,4416989193780068353
Mon Nov 27 02:13:56 2023,0.751880,427397120,4416989193780068353
Mon Nov 27 02:13:57 2023,1.010101,427397120,4416989193780068353
Mon Nov 27 02:13:58 2023,1.000000,427397120,4416989193780068353
Mon Nov 27 02:13:59 2023,0.502513,427397120,4416989193780068353
Mon Nov 27 02:14:00 2023,0.751880,427397120,4416989193780068353
Mon Nov 27 02:14:01 2023,0.000000,427397120,4416989193780068353
Mon Nov 27 02:14:02 2023,0.000000,427397120,4416989193780068353
Mon Nov 27 02:14:03 2023,0.000000,427397120,4416989193780068353
Mon Nov 27 02:14:04 2023,0.000000,427397120,4416989193780068353
Mon Nov 27 02:14:05 2023,0.000000,427397120,4416989193780068353
Mon Nov 27 02:14:06 2023,0.250000,427397120,4416989193780068353
Mon Nov 27 02:14:07 2023,0.000000,427397120,4416989193780068353
Mon Nov 27 02:14:08 2023,0.000000,427397120,4416989193780068353
Mon Nov 27 02:14:09 2023,0.000000,427397120,4416989193780068353
Mon Nov 27 02:14:10 2023,0.000000,427397120,4416989193780068353
Mon Nov 27 02:14:11 2023,0.000000,427397120,4416989193780068353
Mon Nov 27 02:14:12 2023,0.000000,427397120,4416989193780068353
Mon Nov 27 02:14:13 2023,0.000000,427397120,4416989193780068353
Mon Nov 27 02:14:14 2023,0.000000,427397120,4416989193780068353
Mon Nov 27 02:14:15 2023,0.000000,427397120,4416989193780068353
Mon Nov 27 02:14:16 2023,0.250000,427397120,4416989193780068353
Mon Nov 27 02:14:17 2023,0.000000,427397120,4416989193780068353
Mon Nov 27 02:14:18 2023,0.000000,427397120,4416989193780068353
Mon Nov 27 02:14:19 2023,0.000000,427397120,4416989193780068353
Mon Nov 27 02:14:20 2023,0.000000,427397120,4416989193780068353
Mon Nov 27 02:14:21 2023,0.249377,427397120,4416989193780068353
Mon Nov 27 02:14:22 2023,0.000000,427397120,4416989193780068353
