epoch,value
1709559939.012,25268224.000000
1709559940.012,25309184.000000
1709559941.012,25321472.000000
1709559942.012,25321472.000000
1709559943.012,25321472.000000
1709559944.012,25321472.000000
1709559945.012,25321472.000000
1709559946.012,25321472.000000
1709559947.012,25321472.000000
1709559948.012,25321472.000000
1709559949.012,25321472.000000
1709559950.012,25321472.000000
1709559951.012,25321472.000000
1709559952.012,25337856.000000
1709559953.012,25337856.000000
1709559954.012,25337856.000000
1709559955.012,25337856.000000
1709559956.012,25337856.000000
1709559957.012,25337856.000000
1709559958.012,25337856.000000
1709559959.012,25337856.000000
1709559960.012,25337856.000000
1709559961.012,25337856.000000
1709559962.012,25337856.000000
1709559963.012,25337856.000000
1709559964.012,25337856.000000
1709559965.012,25337856.000000
1709559966.012,25337856.000000
1709559967.012,25337856.000000
1709559968.012,25337856.000000
1709559969.012,25337856.000000
1709559970.012,25337856.000000
1709559971.012,25337856.000000
1709559972.012,25337856.000000
1709559973.012,25337856.000000
1709559974.012,25337856.000000
1709559975.012,25337856.000000
1709559976.012,25337856.000000
1709559977.012,25337856.000000
1709559978.012,25337856.000000
1709559979.012,25337856.000000
1709559980.012,25337856.000000
1709559981.012,25337856.000000
1709559982.012,25337856.000000
1709559983.012,25337856.000000
1709559984.012,25337856.000000
1709559985.012,25337856.000000
1709559986.012,25337856.000000
1709559987.012,25337856.000000
1709559988.012,25337856.000000
1709559989.012,25337856.000000
1709559990.012,25337856.000000
1709559991.012,25337856.000000
1709559992.012,25337856.000000
1709559993.012,25337856.000000
1709559994.012,25337856.000000
1709559995.012,25337856.000000
1709559996.012,25337856.000000
1709559997.012,25337856.000000
1709559998.012,25337856.000000
1709559999.012,25337856.000000
1709560000.012,25337856.000000
1709560001.012,25337856.000000
1709560002.012,25337856.000000
1709560003.012,25337856.000000
1709560004.012,25337856.000000
1709560005.012,25337856.000000
1709560006.012,25337856.000000
1709560007.012,25337856.000000
1709560008.012,25337856.000000
1709560009.012,25337856.000000
1709560010.012,25337856.000000
1709560011.012,25337856.000000
1709560012.012,25337856.000000
1709560013.012,25337856.000000
1709560014.012,25337856.000000
1709560015.012,25337856.000000
1709560016.012,25337856.000000
1709560017.012,25337856.000000
1709560018.012,25337856.000000
1709560019.012,25337856.000000
1709560020.012,25337856.000000
1709560021.012,25337856.000000
1709560022.012,25337856.000000
1709560023.012,25337856.000000
1709560024.012,25337856.000000
1709560025.012,25337856.000000
1709560026.012,25337856.000000
1709560027.012,25337856.000000
1709560028.012,25337856.000000
1709560029.012,25337856.000000
1709560030.012,25337856.000000
1709560031.012,25337856.000000
1709560032.012,25337856.000000
1709560033.012,25337856.000000
1709560034.012,25337856.000000
1709560035.012,25337856.000000
1709560036.012,25337856.000000
1709560037.012,25337856.000000
1709560038.012,25337856.000000
1709560039.012,25337856.000000
1709560040.012,25337856.000000
1709560041.012,25337856.000000
1709560042.012,25337856.000000
1709560043.012,25337856.000000
1709560044.012,25337856.000000
1709560045.012,25337856.000000
1709560046.012,25337856.000000
1709560047.012,25337856.000000
1709560048.012,25337856.000000
1709560049.012,25337856.000000
1709560050.012,25337856.000000
1709560051.012,25337856.000000
1709560052.012,25337856.000000
1709560053.012,25337856.000000
1709560054.012,25337856.000000
1709560055.012,25337856.000000
1709560056.012,25337856.000000
1709560057.012,25337856.000000
1709560058.012,25337856.000000
1709560059.012,25337856.000000
1709560060.012,25337856.000000
1709560061.012,25337856.000000
1709560062.012,25337856.000000
1709560063.012,25337856.000000
1709560064.012,25337856.000000
1709560065.012,25337856.000000
1709560066.012,25337856.000000
1709560067.012,25337856.000000
1709560068.012,25337856.000000
1709560069.012,25337856.000000
1709560070.012,25337856.000000
1709560071.012,25337856.000000
1709560072.012,25337856.000000
1709560073.012,25337856.000000
1709560074.012,25337856.000000
1709560075.012,25337856.000000
1709560076.012,25337856.000000
1709560077.012,25337856.000000
1709560078.012,25337856.000000
1709560079.012,25337856.000000
