epoch,value
1709557353.005,1695744.000000
1709557354.005,1695744.000000
1709557355.005,1695744.000000
1709557356.005,1695744.000000
1709557357.005,1695744.000000
1709557358.005,1695744.000000
1709557359.005,1695744.000000
1709557360.005,1695744.000000
1709557361.005,1695744.000000
1709557362.005,1695744.000000
1709557363.005,1708032.000000
1709557364.005,1708032.000000
1709557365.005,1708032.000000
1709557366.005,1708032.000000
1709557367.005,1708032.000000
1709557368.005,1708032.000000
1709557369.005,1708032.000000
1709557370.005,1708032.000000
1709557371.005,1708032.000000
1709557372.005,1708032.000000
1709557373.005,1708032.000000
1709557374.005,1708032.000000
1709557375.005,1708032.000000
1709557376.005,1708032.000000
1709557377.005,1708032.000000
1709557378.005,1708032.000000
1709557379.005,1708032.000000
1709557380.005,1708032.000000
1709557381.005,1708032.000000
1709557382.005,1708032.000000
1709557383.005,1708032.000000
1709557384.005,1708032.000000
1709557385.005,1708032.000000
1709557386.005,1708032.000000
1709557387.005,1708032.000000
1709557388.005,1708032.000000
1709557389.005,1708032.000000
1709557390.005,1708032.000000
1709557391.005,1708032.000000
1709557392.005,1708032.000000
1709557393.005,1708032.000000
1709557394.005,1708032.000000
1709557395.005,1708032.000000
1709557396.005,1708032.000000
1709557397.005,1708032.000000
1709557398.005,1708032.000000
1709557399.005,1708032.000000
1709557400.005,1708032.000000
1709557401.005,1708032.000000
1709557402.005,1708032.000000
1709557403.005,1708032.000000
1709557404.005,1708032.000000
1709557405.005,1708032.000000
1709557406.005,1708032.000000
1709557407.005,1708032.000000
1709557408.005,1708032.000000
1709557409.005,1708032.000000
1709557410.005,1708032.000000
1709557411.005,1708032.000000
1709557412.005,1708032.000000
1709557413.005,1708032.000000
1709557414.005,1708032.000000
1709557415.005,1708032.000000
1709557416.005,1708032.000000
1709557417.005,1708032.000000
1709557418.005,1708032.000000
1709557419.005,1708032.000000
1709557420.005,1708032.000000
1709557421.005,1708032.000000
1709557422.005,1708032.000000
1709557423.005,1708032.000000
1709557424.005,1708032.000000
1709557425.005,1708032.000000
1709557426.005,1708032.000000
1709557427.005,1708032.000000
1709557428.005,1708032.000000
1709557429.005,1708032.000000
1709557430.005,1708032.000000
1709557431.005,1708032.000000
1709557432.005,1708032.000000
1709557433.005,1708032.000000
1709557434.005,1708032.000000
1709557435.005,1708032.000000
1709557436.005,1708032.000000
1709557437.005,1708032.000000
1709557438.005,1708032.000000
1709557439.005,1708032.000000
1709557440.005,1708032.000000
1709557441.005,1708032.000000
1709557442.005,1708032.000000
1709557443.005,1708032.000000
1709557444.005,1708032.000000
1709557445.005,1708032.000000
1709557446.005,1708032.000000
1709557447.005,1708032.000000
1709557448.005,1708032.000000
1709557449.005,1708032.000000
1709557450.005,1708032.000000
1709557451.005,1708032.000000
1709557452.005,1708032.000000
1709557453.005,1708032.000000
1709557454.005,1708032.000000
1709557455.005,1708032.000000
1709557456.005,1708032.000000
1709557457.005,1708032.000000
1709557458.005,1708032.000000
1709557459.005,1708032.000000
1709557460.005,1708032.000000
1709557461.005,1708032.000000
1709557462.005,1708032.000000
1709557463.005,1708032.000000
1709557464.005,1708032.000000
1709557465.005,1708032.000000
1709557466.005,1708032.000000
1709557467.005,1708032.000000
1709557468.005,1708032.000000
1709557469.005,1708032.000000
1709557470.005,1708032.000000
1709557471.005,1708032.000000
1709557472.005,1708032.000000
1709557473.005,1708032.000000
1709557474.005,1708032.000000
1709557475.005,1708032.000000
1709557476.005,1708032.000000
1709557477.005,1708032.000000
1709557478.005,1708032.000000
1709557479.005,1708032.000000
1709557480.005,1708032.000000
1709557481.005,1708032.000000
1709557482.005,1708032.000000
1709557483.005,1708032.000000
1709557484.005,1708032.000000
1709557485.005,1708032.000000
1709557486.005,1708032.000000
1709557487.005,1708032.000000
1709557488.005,1708032.000000
1709557489.005,1708032.000000
1709557490.005,1708032.000000
1709557491.005,1708032.000000
1709557492.005,1708032.000000
1709557493.005,1708032.000000
1709557494.005,1708032.000000
1709557495.005,1708032.000000
1709557496.005,1708032.000000
1709557497.005,1708032.000000
1709557498.005,1708032.000000
1709557499.005,1708032.000000
1709557500.005,1708032.000000
1709557501.005,1708032.000000
1709557502.005,1708032.000000
