epoch,value
1709558798.990,1675264.000000
1709558799.990,1675264.000000
1709558800.990,1675264.000000
1709558801.990,1675264.000000
1709558802.990,1675264.000000
1709558803.990,1675264.000000
1709558804.990,1675264.000000
1709558805.990,1675264.000000
1709558806.990,1675264.000000
1709558807.990,1675264.000000
1709558808.990,1675264.000000
1709558809.990,1675264.000000
1709558810.990,1675264.000000
1709558811.990,1675264.000000
1709558812.990,1675264.000000
1709558813.990,1675264.000000
1709558814.990,1675264.000000
1709558815.990,1675264.000000
1709558816.990,1675264.000000
1709558817.990,1675264.000000
1709558818.990,1675264.000000
1709558819.990,1695744.000000
1709558820.990,1695744.000000
1709558821.990,1695744.000000
1709558822.990,1695744.000000
1709558823.990,1695744.000000
1709558824.990,1695744.000000
1709558825.990,1695744.000000
1709558826.990,1695744.000000
1709558827.990,1695744.000000
1709558828.990,1695744.000000
1709558829.990,1695744.000000
1709558830.990,1695744.000000
1709558831.990,1695744.000000
1709558832.990,1695744.000000
1709558833.990,1695744.000000
1709558834.990,1695744.000000
1709558835.990,1695744.000000
1709558836.990,1695744.000000
1709558837.990,1695744.000000
1709558838.990,1695744.000000
1709558839.990,1695744.000000
1709558840.990,1695744.000000
1709558841.990,1695744.000000
1709558842.990,1695744.000000
1709558843.990,1695744.000000
1709558844.990,1695744.000000
1709558845.990,1695744.000000
1709558846.990,1695744.000000
1709558847.990,1695744.000000
1709558848.990,1695744.000000
1709558849.990,1695744.000000
1709558850.990,1695744.000000
1709558851.990,1695744.000000
1709558852.990,1695744.000000
1709558853.990,1695744.000000
1709558854.990,1695744.000000
1709558855.990,1695744.000000
1709558856.990,1695744.000000
1709558857.990,1695744.000000
1709558858.990,1695744.000000
1709558859.990,1695744.000000
1709558860.990,1695744.000000
1709558861.990,1695744.000000
1709558862.990,1695744.000000
1709558863.990,1695744.000000
1709558864.990,1695744.000000
1709558865.990,1695744.000000
1709558866.990,1695744.000000
1709558867.990,1695744.000000
1709558868.990,1695744.000000
1709558869.990,1695744.000000
1709558870.990,1695744.000000
1709558871.990,1695744.000000
1709558872.990,1695744.000000
1709558873.990,1695744.000000
1709558874.990,1695744.000000
1709558875.990,1695744.000000
1709558876.990,1695744.000000
1709558877.990,1695744.000000
1709558878.990,1695744.000000
1709558879.990,1695744.000000
1709558880.990,1695744.000000
1709558881.990,1695744.000000
1709558882.990,1695744.000000
1709558883.990,1695744.000000
1709558884.990,1695744.000000
1709558885.990,1695744.000000
1709558886.990,1695744.000000
1709558887.990,1695744.000000
1709558888.990,1695744.000000
1709558889.990,1695744.000000
1709558890.990,1695744.000000
1709558891.990,1695744.000000
1709558892.990,1695744.000000
1709558893.990,1695744.000000
1709558894.990,1695744.000000
1709558895.990,1695744.000000
1709558896.990,1695744.000000
1709558897.990,1695744.000000
1709558898.990,1695744.000000
1709558899.990,1695744.000000
1709558900.990,1695744.000000
1709558901.990,1695744.000000
1709558902.990,1695744.000000
1709558903.990,1695744.000000
1709558904.990,1695744.000000
1709558905.990,1695744.000000
1709558906.990,1695744.000000
1709558907.990,1695744.000000
1709558908.990,1695744.000000
1709558909.990,1695744.000000
1709558910.990,1695744.000000
1709558911.990,1695744.000000
1709558912.990,1695744.000000
1709558913.990,1695744.000000
1709558914.990,1695744.000000
1709558915.990,1695744.000000
1709558916.990,1695744.000000
1709558917.990,1695744.000000
1709558918.990,1695744.000000
1709558919.990,1695744.000000
1709558920.990,1695744.000000
1709558921.990,1695744.000000
1709558922.990,1695744.000000
1709558923.990,1695744.000000
1709558924.990,1695744.000000
1709558925.990,1695744.000000
1709558926.990,1695744.000000
1709558927.990,1695744.000000
1709558928.990,1695744.000000
1709558929.990,1695744.000000
1709558930.990,1695744.000000
1709558931.990,1695744.000000
1709558932.990,1695744.000000
1709558933.990,1695744.000000
1709558934.990,1695744.000000
1709558935.990,1695744.000000
1709558936.990,1695744.000000
1709558937.990,1695744.000000
1709558938.990,1695744.000000
1709558939.990,1695744.000000
1709558940.990,1695744.000000
1709558941.990,1695744.000000
1709558942.990,1695744.000000
1709558943.990,1695744.000000
1709558944.990,1695744.000000
1709558945.990,1695744.000000
1709558946.990,1695744.000000
1709558947.990,1695744.000000
1709558948.990,1695744.000000
